Acinetobacter baumannii
Actinomyces israelii
Agrobacterium radiobacter
Agrobacterium tumefaciens
Anaplasma phagocytophilum
Azorhizobium caulinodans
Azotobacter vinelandii
Viridans streptococci
Bacillus anthracis
Bacillus brevis
Bacillus cereus
Bacillus fusiformis
Bacillus licheniformis
Bacillus megaterium
Bacillus mycoides
Bacillus stearothermophilus
Bacillus subtilis
Bacillus thuringiensis
Bacteroides fragilis
Bacteroides gingivalis
Bacteroides melaninogenicus
Bartonella henselae
Bartonella quintana
Bordetella bronchiseptica
Bordetella pertussis
Borrelia burgdorferi
Brucella abortus
Brucella melitensis
Brucella suis
Burkholderia mallei
