Acinetobacter baumannii
Actinomyces israelii
Agrobacterium radiobacter
Agrobacterium tumefaciens
Anaplasma phagocytophilum
Azorhizobium caulinodans
Azotobacter vinelandii
Viridans streptococci
Bacillus anthracis
Bacillus brevis
Bacillus cereus
Bacillus fusiformis
Bacillus licheniformis
Bacillus megaterium
Bacillus mycoides
Bacillus stearothermophilus
Bacillus subtilis
Bacillus thuringiensis
Bacteroides fragilis
Bacteroides gingivalis
Bacteroides melaninogenicus
Bartonella henselae
Bartonella quintana
Bordetella bronchiseptica
Bordetella pertussis
Borrelia burgdorferi
Brucella abortus
Brucella melitensis
Brucella suis
Burkholderia mallei
Burkholderia pseudomallei
Burkholderia cepacia
Calymmatobacterium granulomatis
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter pylori
Chlamydia trachomatis
Chlamydophila pneumoniae
Chlamydophila psittaci
Clostridium botulinum
Clostridium difficile
Clostridium perfringens
Clostridium tetani
Corynebacterium diphtheriae
Corynebacterium fusiforme
Coxiella burnetii
Ehrlichia chaffeensis
Ehrlichia ewingii
Eikenella corrodens
Enterobacter cloacae
Enterococcus avium
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus maloratus
Escherichia coli
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Haemophilus ducreyi
Haemophilus influenzae
Haemophilus parainfluenzae
Haemophilus pertussis
Haemophilus vaginalis
Helicobacter pylori
Lactobacillus acidophilus
Lactobacillus bulgaricus
Lactobacillus casei
